category,city,gold_merchant,image_url,jumlah_review,jumlah_view,location,presentase_diskon,price,product_id,quantity_sold,rating,shop_name,subcategory,title,url
Fashion Wanita,Jakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/12/25/0/0_cb784045-64b1-4b03-a7b9-0a3cf30e3f26_512_512.jpg,1231,"90,600",Jakarta,0,53000,246580930,3969,5,Chel&#39;z Shop,Piyama,Baju Tidur Cewek/Wanita Piyama Pajamas Satin Murah,https://www.tokopedia.com/chelshopceria/baju-tidur-cewek-wanita-piyama-pajamas-satin-murah?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D23_q%3Dbaju+wanita_po%3D11_catid%3D1817
Fashion Wanita,Kota Bandung,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/11/3/210908812/210908812_66b0f2f9-fba0-4831-b76d-ffa5b9b8329f_600_600.jpg,551,"69,100",Kota Bandung,0,47000,210908812,1792,5,Openshop,Blouse,Atasan Wanita Zara Puff Blouse Tunik Baju Muslim Blus Muslim,https://www.tokopedia.com/openols/atasan-wanita-zara-puff-blouse-tunik-baju-muslim-blus-muslim?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D2_ob%3D23_q%3Dbaju+wanita_po%3D40_catid%3D1771
Fashion Wanita,Kota Surakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/9/29/71957699/71957699_24c35be9-2403-4ef3-8af2-1139e6d74294_1155_1155.jpg,442,"55,400",Kota Surakarta,0,20000,71957699,2690,4,Yona Retail,Daster,Daster Midi / Baju Tidur Wanita Dress Motif Murah Rayon Adem Seri II,https://www.tokopedia.com/yona-retail/daster-midi-baju-tidur-wanita-dress-motif-murah-rayon-adem-seri-ii?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D23_q%3Dbaju+wanita_po%3D37_catid%3D1819
Fashion Wanita,Jakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2016/2/20/3268844/3268844_4e7203ed-56e9-4dc6-987f-5beecee24166.jpg,123,"47,700",Jakarta,0,78000,33447414,277,4,CASHYUPHORIA SHOP,Kemeja,baju atasan kemeja tunik wanita lengan panjang - plaid long blouse,https://www.tokopedia.com/cashyuphoriashop/baju-atasan-kemeja-tunik-wanita-lengan-panjang-plaid-long-blouse?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D9_ob%3D23_q%3Dbaju+wanita_po%3D56_catid%3D1770
Fashion Wanita,Kota Bandung,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/10/30/0/0_9f2d528e-dbea-49cd-a7e5-2c663eeab71a_750_724.jpg,115,44000,Kota Bandung,0,60000,222820000,286,4,Hijab Update,Kemeja,Kemeja putih / Baju busui / Atasan wanita murah : Catty White tunik,https://www.tokopedia.com/hijab-update/kemeja-putih-baju-busui-atasan-wanita-murah-catty-white-tunik?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D12_ob%3D23_q%3Dbaju+wanita_po%3D49_catid%3D1770
Fashion Wanita,Jakarta,FALSE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/4/22/42357283/42357283_37bf3465-e2cb-4b9e-8f48-a01e489a83b9_960_960.jpg,224,"43,100",Jakarta,0,80000,42357283,474,4,Dress,Blouse,Atasan Baju Pakaian Blouse Model Korea Wanita Korean Style Blus Wing,https://www.tokopedia.com/tokomurah123/atasan-baju-pakaian-blouse-model-korea-wanita-korean-style-blus-wing?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D23_q%3Dbaju+wanita_po%3D47_catid%3D1771
Fashion Wanita,Kota Surabaya,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2016/9/30/927787/927787_bcf289bf-84ba-4d9e-be23-a64d5d6881ac.jpg,255,"35,100",Kota Surabaya,0,71000,70946783,551,5,Paphika,Blouse,Jumbo Hazelnut Baju Atasan Wanita Bigsize Oversized Spandex Rayon Adem,https://www.tokopedia.com/paphika/jumbo-hazelnut-baju-atasan-wanita-bigsize-oversized-spandex-rayon-adem?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D3_ob%3D23_q%3Dbaju+wanita_po%3D8_catid%3D1771
Fashion Wanita,Jakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/12/20/25358479/25358479_4662e848-db77-415b-80c9-c152bc98ace4_877_877.jpg,123,"34,900",Jakarta,0,44600,245380472,400,4,ISHETA,Kemeja,HEM KENNA TOP | BAJU WANITA | ATASAN LENGAN PANJANG | BLOUSE | BLUS,https://www.tokopedia.com/isheta/hem-kenna-top-baju-wanita-atasan-lengan-panjang-blouse-blus?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D23_q%3Dbaju+wanita_po%3D43_catid%3D1770
Fashion Wanita,Jakarta,FALSE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/6/17/18898061/18898061_5809bce8-3d90-49b1-b84c-997db9ffb702_640_640.jpg,30,"33,800",Jakarta,0,100000,190645994,"90,",4,chantyshop,Maxi Dress,baju muslim wanita gamis maxi maxy lengan panjang - Visie long dress,https://www.tokopedia.com/chantyshop/baju-muslim-wanita-gamis-maxi-maxy-lengan-panjang-visie-long-dress?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D54_ob%3D23_q%3Dbaju+wanita_po%3D16_catid%3D1765
Fashion Wanita,Jakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/10/4/6108835/6108835_ff4047ab-16bc-4777-8868-f1e842c2616d_1280_1247.jpg,212,"31,600",Jakarta,0,62000,214742211,497,4,Glory Purple Shop,Blouse Batik,61116 tabita top/baju batik wanita/baju tunik/atasan muslim wanita,https://www.tokopedia.com/glorypurpleshop/61116-tabita-top-baju-batik-wanita-baju-tunik-atasan-muslim-wanita?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D2_ob%3D23_q%3Dbaju+wanita_po%3D32_catid%3D1790
